actual,predicted
1654,1569.1739656384316
1737,1726.6045600218615
2007,1623.3213363535338
1700,1549.8520655711545
1213,1322.2107036584089
1128,1336.715563135998
1449,1576.2243988567698
1462,1504.9976058129193
951,1416.4797547943358
980,1366.721837381886
1813,1601.7668837794854
2109,1923.6361615729072
2045,1798.8114945096474
1313,1371.9658770755304
1805,1439.694994725385
1329,1399.5439569446107
1559,1634.4672265446363
1615,1677.0386334057448
1326,1426.8860501690176
1225,1383.5579485650655
1961,1663.5585418886399
1866,1651.827000039861
1495,1274.9832576755045
1483,1611.514346606294
1411,1399.2494997639697
1065,1452.776975224905
543,1212.3519346513854
814,1159.7896344270655
1875,1546.9157922626262
1794,1683.3517179496914
1507,1697.2744204063847
1489,1265.850173820965
1265,1522.035007306152
1031,1538.9156533066102
1744,1086.350447986748
1702,1274.4691371409026
1861,1686.6441949365653
1249,1298.3103546122545
1865,1909.2558062744733
1691,1609.6291789174068
1510,1196.9021340256697
1565,1708.8658323703378
1350,1539.6403083729601
1388,1331.9812354990822
1971,1817.2298914597022
1396,1249.242705826288
1894,1387.1554083036963
1809,1426.0356636865
2167,1492.6973782509954
2158,2005.6527122447203
1331,1381.5816302106157
2050,1469.9278353015666
1697,1553.1198715423286
1416,1425.6603547652721
1663,1855.7779475024417
1910,1694.6118303234293
1502,1598.8694159521278
1514,1176.0792332445799
1792,1529.4483836786153
1242,1671.5649137255461
1936,1540.3956031807752
1921,1574.350077851572
1164,1449.7531458572419
1600,1201.9927907011527
1871,1518.154692378204
1776,1426.6925673759097
1418,1610.7879781647653
1287,1408.793081663252
1493,1689.0155987815638
1600,1611.4637554997335
1681,1458.564188305131
1345,1289.609122889449
1674,1413.877821979605
1568,1226.7341464384529
1486,1666.2299211389509
1294,1496.0361933712024
758,1056.6490108478315
1538,1331.9204716888144
1486,1631.6315328016913
1450,1699.2016563411833
705,1396.3011230244192
1513,1387.4232142368471
1893,1446.5528543466248
1153,1337.876895479852
1454,1727.3183394329308
1844,1517.9081195056458
1336,1446.1550891744148
1626,1411.4980124515178
1281,1393.0628616002039
1872,1529.9620687297106
1552,1430.150318723751
1274,1640.9491097595037
1930,1716.2364461762882
984,1267.91999096156
1280,1544.572441909782
1489,1393.5706453645162
1297,1301.5708641026367
1395,1335.3228016101607
1384,1406.224262999248
1149,1276.1617317676444
1354,1255.5556080589406
1169,1297.4232427295858
1166,1446.1730226941017
1242,1352.6116542685859
1780,1600.4750800058323
1353,1588.75316898741
1868,1431.008939017096
1133,1281.3609904268237
1567,1655.7636195649893
1223,1360.834121751102
1626,1658.063467647097
1392,1497.4831131349843
1859,1567.3672629542525
1190,1517.4947762491618
1168,1511.1023136235378
2207,1525.4566855087005
998,1289.9517644863208
1550,1385.6686739447568
1598,1330.209900585347
1526,1636.2042038658358
1689,1404.0313130280924
1231,1340.1876216045462
1266,1602.11614830014
1899,1514.8745678550763
1617,1778.6798862753835
1735,1506.7373831848402
1048,1397.2411782215422
1026,1306.1326139500507
1113,1291.6580125694459
1780,1325.0140252743083
1489,1489.8725375733807
1491,1437.6569420893468
1542,1290.6046770714922
1550,1454.3954398569122
1734,1454.282119046602
1934,1571.7043560480543
1598,1649.6692978536657
1589,1569.9126649233608
1627,1534.111181091308
1771,1784.162159065414
1720,1344.9523272717922
2003,1617.4364063305807
1333,1334.9929762467873
969,1159.0029247718758
1635,1745.276905419412
1808,1758.4626619250378
1119,1398.7531694991126
1956,1842.3260096634629
1838,1526.5545677194748
1787,1666.4253074122325
1766,1615.02233180886
1766,1466.5433295175696
1117,1585.0639766198626
1345,1612.3032682296375
1327,1447.1872754066642
1666,1532.1692857878081
1184,1230.3513528363815
1382,1539.8848517653028
812,1026.2859107779452
1717,1453.001259959814
1667,1642.0714539267344
1198,1142.3763959021642
1474,1036.819308384178
831,1157.096346821842
1751,1562.8332933190954
1561,1812.2529124554715
1998,1537.300506929952
1954,1759.112326005849
1455,1326.1841364079055
2111,1486.356612487195
1675,1156.4849167551872
1745,1687.2356960135887
1347,1236.898391382333
1204,1377.5094988006867
1307,1327.875620662446
910,1488.4657163357094
1443,1531.2784796187752
1157,1528.65765064795
1448,1199.8157449337007
816,1244.9102996155684
923,1123.875574756302
1202,1569.9227748018855
695,1317.6610971621626
1992,1434.5162743689013
1035,1113.3338742108733
936,1300.0717470746465
1123,1279.8539139548293
1664,1505.487334342848
688,1036.242545757267
1569,1433.0832092121968
1522,1377.5492762605597
1783,1570.0531728277886
2035,1164.219332441045
1569,1487.3079525271746
1034,1479.0621439080978
805,1523.6443112530853
1715,1346.3324245167703
1394,1576.5799238959894
1600,1746.9495173529813
1078,1131.8337140853155
1420,1347.7807548528522
1848,1484.778776232952
1439,1535.1488573867746
1606,2080.341971818219
1582,1432.5028685919704
1854,1490.7350977514254
1635,1613.067847276928
1600,1505.5828230580398
1768,1611.961902968571
1270,1669.6619148500447
1926,1517.5733193264418
1031,1264.813366636405
1534,1698.6652456109236
1616,1707.4271775792035
904,1659.2843050595568
1521,1578.3535109191885
1317,1260.0647329056144
932,1281.4051436056882
1508,1677.6664762447137
1485,1449.2625394898582
1560,1454.380571436822
1318,1585.0583646894568
1905,1781.9530975568082
1822,1377.62854439048
1011,1543.052205759357
1710,1362.1561239550065
826,1385.5011901277726
1638,1449.3817335772442
1325,1404.170399616108
2080,1801.6462823515326
1521,1639.7070364093686
1605,1491.6877910896098
2060,1769.9141336145817
1691,1509.2466702132183
1277,1527.3713047271515
1364,1539.9337853275792
1790,1635.1756327285775
1171,1313.0134573729745
1373,1376.4889437524726
1207,1269.0779586559252
1500,1661.649771711528
1430,1487.6089057219942
1367,1640.08634881281
1749,1676.2546345715375
771,1227.393339132675
589,1295.7449308356267
1195,1428.9830145727785
1101,1445.2811440627816
1967,1471.0913926118758
1215,1496.0362766491023
1853,1557.3328414689297
1740,1444.5147487621196
945,982.2229860446578
1823,1759.9927076604822
943,1362.9649807869603
1483,1522.7933147626454
1928,1527.527736682922
1815,1633.426825472465
1148,1172.3609489211985
1302,1143.4235013439823
771,1059.9340266481515
1428,1453.651526852944
1575,1464.4302088359905
1367,1406.7364561150325
1113,1266.4937183184818
1497,1644.9933332375665
1239,1228.2940661645011
2473,1570.4828394082817
1814,1557.9179858210994
923,1159.139241585403
1501,1601.262268213553
1528,1438.279785016918
1531,1387.9847203110148
1501,1705.4541721071496
1626,1321.8161853627817
1358,1504.0129309887416
1587,1754.4431536706197
1368,1405.0035899562859
1085,1211.8294433436442
1837,1725.4135740872664
956,1416.9765368356238
1900,1370.566022376512
1939,1813.0357071763406
1628,1984.3572733096826
1488,1549.9640337230503
1433,1467.1656193341366
1943,1516.3242031550658
1285,1172.323047801634
2015,1738.549976927096
1487,1360.7255466149434
1827,1500.5944372470797
1788,1789.173326773197
1441,1699.4309211779484
1819,1850.8625502589482
2017,1353.4123873569715
1478,1734.096242848973
1419,1193.6898101500892
1655,1335.9116635454293
1274,1620.8397432296983
1678,1584.939386320406
1630,1482.8844551303885
651,1051.9929936690546
1711,1834.6273795682403
420,1053.2416094536247
1642,1914.5809931861418
947,1490.4349044508558
1089,1209.0202828426138
1217,1074.910535611069
1025,1360.0235535913816
1744,1152.8954105904272
737,1178.123851167125
1323,1422.1405061618439
1100,1370.940967271153
890,1331.7049876068875
1630,1766.8577632609793
1699,1433.216322188729
1878,1360.4617009816284
1640,1373.6885740623281
1846,1631.9736129226476
2034,1516.3126105332713
842,1398.7805513403755
1466,1143.2346056207925
1905,1581.9165345321858
1702,1730.2881545894184
1905,1557.4704042446597
1290,1595.7258825683064
2263,1883.197733018499
1882,1502.193001213872
1667,1646.3579546633391
1385,1638.2929135565562
1848,1755.9140726248577
1902,1184.5101270584366
1791,1732.3662238865654
1396,1507.747102045262
941,917.4496768383533
899,1318.9301606982403
1729,1664.2804358072376
2088,1796.1050507507
1377,1555.068690506343
1698,1343.1816368109864
1679,1226.8380331814442
2391,1839.1634739445194
1691,1710.9509719513896
1710,1936.9535472219768
1877,1449.8115548012918
1672,1618.732041800201
2205,1758.312145267653
1130,1368.5725762115533
1499,1338.685733333841
1042,1426.6675267262892
1585,1995.0980635405872
2027,1619.5849678414102
1662,1545.6401965576126
1740,1811.9668437546886
1012,1274.1513775458704
1081,1276.1133523133617
909,1484.6572870419507
1182,1429.2783631802317
1880,1486.4135558895039
1189,1665.406497688908
1236,1158.356033538743
1660,1636.6448563560848
1748,1360.7247397935575
1539,1297.0231683708803
1747,1531.4589109842539
1559,1605.5917585838392
936,1293.227158456169
2076,1334.7673098217606
1817,1633.3112001435502
1542,1302.8739598439813
1518,1689.1317984595664
1280,1632.6394621109282
1640,2011.4163323953776
1509,1552.3918776249964
1007,1110.6243796762176
1041,1466.6606491124032
1537,1591.8491576567485
763,1239.1266107909905
1375,1366.044415135957
1779,1235.1373658104797
1796,1632.557383045929
1567,1681.0717558684462
1109,1705.3365208572716
1480,1491.2556958696207
1572,1740.012163480429
1779,1570.259713126438
1500,1366.8889140029205
1055,1700.6684898058033
1626,1668.3688605487605
1648,1473.2285964855616
1201,1545.0528545236887
1983,1584.1748471389212
1499,1547.8017437939543
1869,1325.4805755009736
996,1487.2075488731787
1429,1209.1722340001695
1647,1401.9039491842516
1291,1139.6153691600398
2066,1801.605588968927
1300,1319.221159769728
1411,1680.097345142392
1371,1375.8177694507644
1566,1491.4088394943876
993,1523.3123567384432
1546,1418.7259977886765
2203,1734.7727412934498
1053,1300.7348349201998
1444,1300.9898948814034
1368,1308.170697275903
1765,1637.3367030909665
1638,1555.5639563837533
1345,1560.2472814779642
1652,1680.2357985118433
1289,1212.5347375441038
1255,1494.6582525730441
1796,1615.8146691007832
1448,1571.8980296697002
2112,1696.4213455585798
1374,1527.0873175985507
1696,1582.4058018496548
791,1550.326449329455
1436,1421.326642063092
1447,1456.7466733907843
1599,1771.9029685750932
1087,1712.4259791898514
1081,1398.6068116245744
1446,1316.1582837530032
1984,1727.8735895025761
1608,1604.9681941548972
1115,1333.5266538934695
736,1353.4892476690045
1297,1621.1288767580847
1262,1402.4441498883716
2032,1786.1376532940326
934,1521.3612728866556
1689,1168.9824371427742
1739,1611.548266845801
1395,1388.6121923790352
2295,1809.9037233794231
1414,1155.0279464886357
1389,1287.7787975892124
1561,1599.8579216589624
1592,1471.374153761946
1758,1360.6560818006049
1537,1504.089538664542
1571,1465.3688885608808
1974,1524.6237876093933
1401,1277.4042629579353
1134,1347.901496867051
1973,1531.9392888262978
1951,1756.0136647792
1330,1390.4583671962944
2123,2010.568651235537
1156,1623.4817852994806
1863,1790.5050478802902
894,1176.750962704705
1548,1407.2163659000594
1929,1473.2429005692543
992,1514.9960965558137
1709,1286.873128634509
1106,1275.194624728882
1375,1444.000562604625
1832,1578.6358345554909
1239,1564.4121746448448
1450,1597.3193146700592
575,1317.836455993121
1673,1324.7542132763897
1395,1396.7771934993193
1785,1497.7449501143187
1231,1569.9832526805717
1263,1236.384242330865
1886,1648.1136282609532
1318,1616.177334082834
