actual,predicted
863,888.0660958629308
1611,1644.282899227839
1943,1870.8657166559144
1338,1331.1345636950578
1774,1545.975886449494
1829,1802.7004718655376
1483,1436.256498509758
1140,1087.674301674721
1630,1463.4543690004186
1963,1899.6862042764174
1859,1738.6131167974656
956,886.4736886691571
1714,1725.6308799579865
1148,1246.5834357845933
1137,1136.170521397873
1404,1333.7447916669407
1425,1707.8728600163986
1548,1636.9107575979847
1480,1279.3118946157774
1548,1550.1115593409897
1070,1204.274891283533
1360,1333.721861033574
1179,1119.8451054500144
821,910.4759075357487
1487,1493.344167069027
1261,1993.5415055659032
497,911.0537199261914
2210,2257.977302607824
1456,1438.6939253346443
1321,1327.3536248458217
1731,1700.1246080774195
1612,1719.1466353500462
1118,1564.4026793824578
1246,1220.7640759019685
1672,1581.71319682502
1239,1310.0423172753385
1144,1559.9691741403003
2237,2222.1282553304586
1380,1379.7355247190142
1394,1336.5768267416595
1881,1924.9179711483855
1482,1488.824591177779
1035,1138.2762702028483
1037,1104.2640712023529
1105,1187.9918076437211
1166,1090.613597495411
1864,1855.7409897388818
1737,1813.5121162722535
1603,1578.7292899253302
1491,1524.9556648280607
1278,997.7548456371031
1910,1473.3941699140971
1577,1233.373229589613
1715,1141.2381211316301
1624,1652.6047934873623
1047,1046.980063014122
1286,1543.6854720896945
839,876.0173742132635
1964,1870.827175961748
1351,1346.0329123493136
1522,2108.916055183849
1761,1742.8748185559255
2035,1865.651152990464
937,1470.2220129049192
1051,1264.7459874068677
1356,1357.7037122299596
1136,1219.2658801626205
1927,1746.6241752922942
901,713.0073283399614
1862,1794.9328666582446
1757,1964.1183136921065
1074,1025.6600614858435
2405,2365.164491447173
2120,2109.4203463624317
1815,1888.0535187621658
1985,1923.5608883398108
1570,1549.8611530139194
1987,2026.1638822648154
1478,1499.2669765932546
1683,1809.3659899622198
1755,1674.0015409995813
874,939.5145070167785
1702,1727.9729740444966
848,999.2891513680145
1392,1358.1497861692476
1530,1763.4118538243001
2363,2251.526157315957
1581,1549.905085684719
1225,1191.3349177172881
1726,1655.3149768304097
2157,2222.929206167547
1654,1666.7873740375685
1737,1652.0581822972908
2007,1878.4939727027208
1700,1645.5483671189104
1213,1234.1165484053788
1128,1065.8739061674562
1449,1653.0835176873431
1462,1464.3286755422594
951,848.9719199581594
980,943.1600900247461
1813,1688.9201797029698
2109,2103.8928311757554
2045,1910.8279987902035
1313,1347.1758867896283
1805,1794.8472334500818
1329,1340.3369487717937
1559,1562.8614749191063
1615,1704.518812396575
1326,1315.7609936363217
1225,1296.0380708714872
1961,2100.833161588408
1866,1871.981902004276
1495,1449.9499816444236
1483,1439.8399088575557
1411,1297.0040191950498
1065,1117.4120961948981
543,691.0993529807222
814,659.9952215201375
1875,1792.3823862134705
1794,1736.7087271852406
1507,1555.4403017184147
1489,1443.2819955143736
1265,1346.0781191153642
1031,1020.060228951692
1744,1762.3976904231686
1702,1555.777806659355
1861,1853.0227379092942
1249,1225.4792213813414
1865,1876.121789390497
1691,1714.502454900713
1510,1476.5983502775375
1565,1580.1458547227585
1350,1389.0180562356272
1388,1216.0927277949186
1971,2019.9112426669678
1396,1393.3571126688487
1894,1676.7397687393627
1809,1904.0385426902646
2167,2041.234023169542
2158,2318.0239401187164
1331,1375.3486703266328
2050,1778.9770153347154
1697,1684.859017555391
1416,1432.6840609008025
1663,1687.493377163628
1910,1904.0652674853045
1502,1564.7723173090178
1514,1495.9402402441751
1792,1867.7724025878401
1242,1262.1955496375465
1936,1923.335407349377
1921,1879.4729309933673
1164,1158.2832002575885
1600,1633.0479840009618
1871,1874.3282206618842
1776,1726.676557279476
1418,1241.9885909802758
1287,1328.9952325494883
1493,1554.8354931723986
1600,2153.7257755116275
1681,1697.9880237543466
1345,1366.4393925790703
1674,1602.1077940036803
1568,1491.943010008789
1486,1454.1956087816682
1294,1052.1865471011963
758,917.2573619149554
1538,1579.9074049551816
1486,1498.5007008090035
1450,1327.2887395667767
705,771.1644600943279
1513,1578.381551098377
1893,1862.939116736839
1153,1122.24368419536
1454,1494.4982696829234
1844,1813.8165606669222
1336,1218.553932918019
1626,1588.759201311342
1281,1166.5050905490034
1872,1854.0110208197498
1552,1451.3443457324875
1274,1338.2034802127414
1930,1919.9597863270708
984,839.928989164116
1280,1289.8347932694635
1489,1454.853642984206
1297,1224.6402810734915
1395,1377.4132344507696
1384,1351.1679815681593
1149,1094.312804835058
1354,1379.5660139927202
1169,1373.601721788873
1166,1142.1473349265507
1242,1296.964212440224
1780,1801.9039513463447
1353,1419.4039574363726
1868,1776.5868302243077
1133,915.4834576022607
1567,1620.9638217703382
1223,1388.1194663184942
1626,1664.2174600822993
1392,1363.929113244294
1859,1959.716826252025
1190,1233.2224894927754
1168,1105.2250772580683
2207,1435.4349002458268
998,1105.5836393025804
1550,1661.0356505645832
1598,1795.3333315813875
1526,1557.7005008457593
1689,1643.5859042860818
1231,1118.8810424718097
1266,1236.904966824649
1899,1940.06066474207
1617,1615.8472126403296
1735,1764.6253588674047
1048,1210.0354708024015
1026,1072.7572082531954
1113,1197.9337658868678
1780,1720.6768274414974
1489,1522.670919670827
1491,1513.7219194309598
1542,1533.2857353997588
1550,1471.8696428544956
1734,1670.978959755156
1934,1865.1855836872098
1598,1578.3710654095103
1589,1720.2564881102198
1627,1678.0007701619265
1771,1797.369803643733
1720,1747.0121456500135
2003,1919.2278585834983
1333,1331.61773161012
969,1023.8224540317636
1635,1741.559340827154
1808,1833.0121855927373
1119,1164.7283702938723
1956,2071.6891513513074
1838,1756.5029470653574
1787,1763.0640638227649
1766,1805.2222511512493
1766,1733.1200160656026
1117,1211.5657722798157
1345,1591.9459823226243
1327,1378.464046421547
1666,1418.1935405615477
1184,1097.3391739204542
1382,1442.035890624526
812,1414.1409259249701
1717,1668.9921539832603
1667,1812.555150803426
1198,1162.3906031824934
1474,868.8329540557178
831,835.7732957470255
1751,1664.0919897903025
1561,1612.1716211415157
1998,2099.9452941343493
1954,1930.8874212837711
1455,1490.9286780572575
2111,1717.6041669361898
1675,1754.6389480077344
1745,1700.0998341666875
1347,1353.4392319317037
1204,1229.0159921727327
1307,1398.4798644198468
910,819.0683698670045
1443,1446.3595287496942
1157,1479.9287914783786
1448,1477.2830302259495
816,853.8366276646861
923,776.8316127492981
1202,1246.0609340844362
695,730.3247422324685
1992,1956.3792435698908
1035,1111.0228250700136
936,993.9804290720308
1123,1193.4006838164346
1664,1585.181189411172
688,707.6193987441692
1569,1355.5332921593813
1522,1475.2670018939186
1783,1828.009822573712
2035,1526.6936944210638
1569,1506.8988144431137
1034,1239.8303261728743
805,928.5151936048433
1715,1567.267119474542
1394,1454.7414170527086
1600,1711.934724264844
1078,1091.915261203789
1420,1392.7520842384652
1848,1840.0027409893648
1439,1538.8575973881657
1606,2011.9976008494968
1582,1567.090388582013
1854,1775.6940311101716
1635,1688.9668948487254
1600,1597.586580113707
1768,1774.7175424701893
1270,1285.8655842536875
1926,1971.7449727449468
1031,1033.5475103275228
1534,1616.7599874386995
1616,2024.6316299219861
904,951.2798278826901
1521,1589.3772241825018
1317,1321.2483224548457
932,1045.9381106040962
1508,2247.4000298091987
1485,1495.7564122737715
1560,1528.3782355693825
1318,1350.714433154289
1905,1972.1571925050926
1822,1794.065358002709
1011,1122.8604176082847
1710,1716.417486588358
826,1026.6761736481542
1638,1655.0401086750112
1325,1478.6816700357265
2080,2006.6340792149879
1521,1570.6880296296417
1605,1582.7766580985517
2060,2042.9704028064102
1691,1659.075654374591
1277,1060.1059483294969
1364,1439.9053080685558
1790,1701.3342033414265
1171,1183.4591831677105
1373,1410.6517951386807
1207,1171.5261415335617
1500,1432.6524277329238
1430,1389.6838948823106
1367,1352.9582990155868
1749,1779.6465802258415
771,875.3593072166119
589,755.2974621908194
1195,1099.1743438516967
1101,1166.4317524724563
1967,1957.883071726689
1215,1161.0657566816744
1853,1853.5302546571975
1740,1755.4993659029178
945,854.1475395958503
1823,1893.4349148837289
943,1029.4237388769563
1483,1539.1346797498734
1928,1990.5304170447876
1815,1804.8723338910233
1148,1013.9996867837838
1302,1210.273448489661
771,774.2796851863933
1428,1478.0071836284224
1575,1754.7807755653512
1367,1315.3823119089839
1113,1163.440379042655
1497,1497.723653189587
1239,1142.2807522257026
2473,1639.8167790160344
1814,1895.2822085510795
923,891.9003727445324
1501,1543.3050483425534
1528,1448.0996844102285
1531,1583.3649848074215
1501,1443.2746764928836
1626,1631.6867192959771
1358,1361.5239190220316
1587,1561.1203226136925
1368,1382.9242468780662
1085,963.0575764019836
1837,1829.469126957934
956,1007.9087955829721
1900,1772.657526814272
1939,1918.3270150145227
1628,1521.3520030802893
1488,1530.7785709790087
1433,1378.1027846183097
1943,1948.0181409358129
1285,1268.8837048963078
2015,1934.897600022042
1487,1526.764134448606
1827,1699.4271325063837
1788,1830.5664936157766
1441,1458.9378370077009
1819,1848.2335387331955
2017,1870.8159335916646
1478,1525.0934879457961
1419,1372.9739323686422
1655,1616.4120887631163
1274,1351.862886383946
1678,1600.5295806613265
1630,1594.8103819480082
651,593.2524605791156
1711,1738.2040904323803
420,582.2003496480644
1642,1701.3283774685449
947,870.8324682304617
1089,1169.618804950571
1217,1217.5285054927315
1025,1050.135479624048
1744,1718.5975937155963
737,946.9141358944638
1323,1332.2654612299489
1100,1109.4280885360497
890,853.6231707782155
1630,1649.886866454452
1699,1795.866873355874
1878,1661.3211737080815
1640,1682.227219143401
1846,1860.803343662113
2034,2017.4381101162141
842,883.8533794636697
1466,1396.034472495685
1905,1899.8054841564842
1702,1701.3246545174316
1905,1904.9402174640795
1290,1393.925524419624
2263,2335.7448104493965
1882,1779.7973640455493
1667,984.9972384735336
1385,1443.1835194556397
1848,1837.428108820682
1902,1679.8894087103495
1791,1807.1627751925948
1396,1373.8373630306407
941,723.2081339204772
899,1128.501118899473
1729,2124.7117053515694
2088,2030.3381428596772
1377,1430.9176118196597
1698,1623.5188482360763
1679,1691.4040100827278
2391,2305.5831044554434
1691,1704.040766076136
1710,1744.636040038498
1877,1841.7013409917352
1672,1666.4003504083807
2205,2100.4677167390455
1130,1151.9391135819662
1499,1462.4323517353414
1042,1004.4829720567125
1585,1766.9841981148138
2027,2030.8183163400774
1662,1664.181003863555
1740,1798.827933691307
1012,1439.010006458915
1081,1138.5055241671985
909,1057.8461774588836
1182,1256.631972123187
1880,1948.0198298488194
1189,1125.8028517569926
1236,1202.9668643983218
1660,1716.1026181019329
1748,1815.781955900799
1539,1497.9136019029388
1747,1717.2653385586248
1559,1560.2888166230746
936,1230.7755900119578
2076,2015.3351969624891
1817,1898.9173016911732
1542,1543.3285558761636
1518,1601.982468495302
1280,1166.404929958979
1640,1835.7387042411217
1509,1527.7784075552167
1007,1044.000994683967
1041,948.6801138973719
1537,1800.6144318954744
763,805.9753266553096
1375,1347.979566628661
1779,1759.0217318403456
1796,1760.8704624782767
1567,1730.9638645012644
1109,1173.6259477274266
1480,1578.0887008833458
1572,1623.7724949731796
1779,1806.8588120691243
1500,1346.6877233712457
1055,1097.4157680333467
1626,1701.574864227292
1648,2046.7601592681922
