actual,predicted
859,1437.8860354563549
1627,1553.3853307832496
1969,1536.605448462411
1350,1205.8120737928207
1575,1104.5194328384262
1784,1657.5286052969614
1467,1601.7210589276788
1136,1212.8747009199178
1448,1549.335553299463
1927,1681.2030672580931
1849,1528.9750298333074
866,1318.9437290050964
1760,1350.6394329150862
1194,1434.6309328697894
1072,1504.9306641207054
1285,1472.9577507794195
1664,1420.9162361211838
1630,1718.8697273621276
1211,1375.7568286118753
1539,1412.0230572235532
1151,1540.2156121724456
1344,1692.552686983499
1138,1416.0912555921484
916,1548.9283040394707
1493,1469.4648806901055
1876,1524.170556201771
939,1584.7599916389981
2205,1831.409506040334
1443,1445.3881556376778
1313,1632.3903018877443
1698,1562.5331134122143
1710,1704.9073999222542
1597,1097.8765215079015
1174,1151.0570838751112
1620,1258.1073630021338
1307,1486.0005832052284
1661,1382.6401121716426
2194,1900.6691249077553
1393,1633.4365100567857
1357,1510.3253496631098
1950,1608.9628175427893
1505,1524.4908514129606
1137,1222.572101819902
1040,1381.445123989815
1147,1572.349806720925
1133,1260.3900254501632
1880,1520.2977175063406
1745,1716.3834434974651
1568,1408.6475937849461
1500,1480.5414699946277
771,1118.755403992527
1262,1219.8635004151106
1180,1047.4385811683965
983,1410.8125981244482
1672,1691.4617011470184
1017,1250.1220740121107
1597,1265.2091915748765
850,1098.023851386352
1880,1499.8758851623052
1361,1482.1260464023408
2110,1760.553461726322
1747,1669.727737962321
1807,1470.726892048911
1500,1220.3192760130505
1152,1308.5066923303611
1379,1688.5046645724403
1200,1408.339898879725
1754,1466.649425683778
464,974.7874374482926
1797,1672.0149684174985
2063,1381.621077831798
1025,1487.3823228352148
2347,1889.5916085697886
2100,1803.7528619635193
1844,1594.5272074236186
1948,1700.873992388438
1612,1281.256314452112
1988,1863.1733680236243
1500,1565.249805355521
1854,1789.3278974237714
1764,1390.8685427277333
451,1279.2588172135906
1736,1287.883334342474
976,1468.3399881169587
1362,1428.5592541127328
1696,1284.9151952765387
2228,1868.6476105160316
1496,1505.644322538626
1208,1174.695578533641
1700,1698.3107355486723
2201,1710.490248142623
1653,1557.2614314002194
1738,1770.9724325527204
1891,1655.4251830817188
1631,1583.8736269924739
1353,1470.9764732079534
1087,1440.595257996246
1473,1725.6180506247629
1454,1470.6459624232155
881,1493.8902296914184
555,1216.6276012480785
1725,1702.8383565806594
2114,1982.1591983913154
1905,1760.811704845733
1344,1458.534812923282
1777,1493.16300881469
1322,1497.6357208254938
1597,1612.7652159449035
1670,1662.3615664888982
1314,1477.9242606833077
1226,1332.9935719665723
2092,1646.291509337424
1867,1715.3040893415077
1484,1361.7371849686288
1440,1565.7037438278253
1300,1366.592693275559
1072,1441.3672659904578
711,1299.1067280820357
400,1182.4137653291982
1821,1559.3466729040172
1714,1745.2681298327147
1537,1732.8075588525312
1479,1348.9141070524615
1288,1440.1592207753124
989,1547.5859158944959
1702,1068.8219611323798
1717,1300.6191888051426
1880,1673.6504024379844
1255,1410.7692899181707
1854,1851.5293272067192
1696,1657.7316969228632
1530,1184.0489512730846
1536,1703.68097625064
1374,1581.169555962184
1182,1175.2147991144427
2031,1947.6911197197276
1394,1278.8414225074105
1784,1541.4311579925245
2032,1454.630681307698
2103,1455.3984289489047
2291,1908.7082631070896
1343,1388.5557098468507
1790,1405.2561469248587
1723,1564.0185794485506
1429,1533.9026419577049
1693,1836.1409156016807
1905,1640.8037991692393
1521,1631.8767896976087
1512,1223.640277207578
1882,1557.2017188130033
1234,1612.277904571967
1979,1553.286001437973
1905,1552.0017280070472
1170,1395.603773298034
1677,1273.429946043308
1904,1484.125560577769
1768,1490.6197033110627
1268,1640.1340316288856
1296,1364.0076737039585
1513,1684.3306429899508
2239,1689.7858678502191
1673,1466.0146216728745
1371,1261.1684234081386
1688,1411.7968593169367
1557,1262.8237982620892
1446,1570.9324367647223
764,1248.189961416144
899,1003.8166518742576
1596,1358.5351735784866
1450,1617.7256309822205
1337,1711.8201562832342
643,1245.703072534628
1565,1444.6493735102354
1863,1494.623695500878
998,1246.7956004083421
1472,1661.745831766013
1815,1510.764061065659
1172,1290.418508933355
1525,1389.122803087815
1307,1459.2709838401033
1864,1598.6748412964334
1547,1455.2779336018561
1344,1665.7888914963178
1942,1673.7423691065349
870,1231.8477268187744
1295,1575.997845984942
1419,1363.645799008602
1175,1202.613001236677
1373,1398.4450754448005
1338,1415.3927299439335
1151,1372.9378360999845
1318,1358.6867596450634
1414,1286.1285307546955
1139,1281.313198644399
1340,1381.4704128921617
1823,1607.2123423928979
1329,1565.602982136219
1846,1470.7191168109002
869,1352.9251567008664
1567,1672.577279293885
1387,1454.365628346642
1637,1536.131758540607
1386,1582.699146254137
1902,1515.2939287006172
1228,1565.5110304363543
1082,1515.4641759657334
1427,1411.9522144240836
1061,1263.918005299252
1597,1337.6073241737108
1679,1186.5890625354605
1534,1618.6380048620758
1708,1437.688122078985
1136,1425.315052139811
1233,1612.5578364731239
1956,1365.927031188304
1606,1751.9575158297228
1750,1491.1656888992186
1163,1442.890552366035
1068,1324.7800519630655
1179,1280.7006070254527
1710,1316.9984842202443
1494,1491.4293294113743
1516,1351.9091504705855
1504,1260.1314470185584
1521,1438.8170000142677
1704,1512.129380252117
1869,1601.2172978250221
1538,1537.4454480874124
1668,1537.1305225071628
1610,1417.993839081726
1789,1741.609684323854
1710,1447.4065415646232
1954,1565.9533954762583
1325,1395.9473352291425
961,976.3905804171378
1662,1592.3254507179759
1839,1829.6715855161385
1108,1374.8163366869292
2041,1900.5224834282162
1771,1540.3301408875366
1775,1701.9370008913052
1847,1630.6076250901256
1747,1489.6435503363823
1166,1524.3929881480635
1434,1591.1633408322878
1337,1414.3457074407327
1400,1649.4418198112849
1167,1208.2182712032964
1365,1669.8954973727268
1500,913.2438909359267
1725,1550.6526830709224
1757,1672.7940138622648
1127,1039.879718405803
711,1112.467740901403
797,1262.3903984921653
1642,1580.7805550959706
1534,1738.377967952712
2116,1596.4811637186317
1882,1682.7477987422478
1474,1168.40249289198
1779,1640.0495591120562
1781,1189.0687506987629
1697,1687.114235491947
1354,1297.298739296951
